name,functions,color,precision,company,productURL,photoURL,favorite,rating,notes,status,oversampling
BUSTERse,,,,Analog Obsession,https://www.patreon.com/posts/busterse-42658623,https://c10.patreonusercontent.com/4/patreon-media/p/post/42658623/e4b79a38c83c4194b56dd4b866f81b85/eyJ3Ijo2MjB9/1.png?token-time=1657756800&token-hash=-qzlD6LmofXPPzx872WFmIPlWFrETc7F1BIQYQdWE9s%3D,FALSE,3,"BUSTERse
Here is big brother of ""BUSTER"" with tons of improvements and new features!

Classic console compressor with extra Filter and Transient sidechain options to dominate whole signal!

FEATURES

STEREO COMPRESSOR : Compressor Section

FLT : Filter Section

TR : Transient Section

CONTROL : Control section

Compressor Section

- THRESHOLD (dB) : +15 to -15

- ATTACK (ms) : 0.1, 0.3, 1, 3, 10, 30

- RELEASE (sec) : 0.1, 0.3, 0.6, 1.2, Auto

- RATIO : 1.5, 2, 3, 4, 5, 10

- MAKE UP (dB) : 0 to 15

- MIX (%) : DRY to WET

Filter Section (Sidechain)

- HPF (Hz) : 20 to 500

- MID (~1500Hz) : -6dB to +6dB

- HF (~10kHz) : 0dB to -10dB *Will work like famous optical-tube compressor and help you to control high frequencies, better.

Transient Section (Sidechain)

- BOOST (dB) : 0 to 10 *While boosting attack, it will reduce decay/release of signal to make compressor more sensitive with only attacks/peaks.

- TILT (~1kHz Center) : -6dB to 6 dB *It's placed before BOOST to send only dedicated range to BOOST. So, BOOST will affect only given frequency range and will boost only this range's transients. If TILT is default, BOOST will affect overall transients.

- MIX (%) : DRY to WET *Will blend DRY and WET signal. After boosting transients, you can blend with DRY signal to keep reduced release of signal. When MIX in default position, TR is off. So, you can turn MIX knob to all the way up to engage TR section.

*EXT (External Sidechain) : When you engage EXT, sidechain circuit will listen incoming signal and you can stil use Filter and Transient sections on incoming signal.

Control Section

- MAIN : General Bypass

- TURBO : Turbo Mod *Turbo mod will help to compressor to affect whole signal range. Otherwise, compressor will focus on mid frequencies. This mod added to keep original sign of hardware.

- XFORMER : In/Out Transformers *If you engage XFORMER, in/out ICs will be replaced with transformer to balance it. This will affect to impedance, character, overall sound.

- ANALOG OBSESSION LOGO: Oversampling. It will turn to red when oversampling is engaged.",active,TRUE
cleansweep V2,,,,Brainworx,https://www.plugin-alliance.com/en/products/bx_cleansweep_v2.html,https://brainworx.audio/assets/images/6/bx_cleansweep_v2_4xScreenshot-blanc_V1-372d2516.png,FALSE,3,,active,FALSE
AMEK 9099,,,,Brainworx,https://www.plugin-alliance.com/en/products/bx_console_amek_9099.html,https://brainworx.audio/assets/images/5/Screenshot%20Stereo%20Action%20New-46c2ae05.png,TRUE,4,,active,FALSE
Focusrite SC,,,,Brainworx,https://brainworx.audio/products.html,https://brainworx.audio/assets/images/b/Brainworx_bx_console_Focusrite_sc-fb4061cb.png,TRUE,4,,active,FALSE
masterdesk Classic,,,,Brainworx,https://brainworx.audio/products.html,https://brainworx.audio/assets/images/e/4xScreenshot%20bx_masterdesk%20Classic%201-c930d06e.png,FALSE,3,,active,FALSE
masterdesk,,,,Brainworx,https://brainworx.audio/products.html,https://brainworx.audio/assets/images/c/Brainworx_bx_masterdesk-2xScreenshot_V1-d8c0708c.png,FALSE,3,,active,FALSE
oberhausen,,,,Brainworx,https://www.plugin-alliance.com/en/products/bx_oberhausen.html,https://brainworx.audio/assets/images/2/02-BX_bx_oberhausen-Hero_Template-GUI-2e8a2b62.png,TRUE,3,,active,FALSE
opto Pedal,,,,Brainworx,https://brainworx.audio/products.html,https://www.brainworx.audio/assets/images/4/bx_optoPedal-2xScreenshot-action-transparent_V1-cc396434.png,FALSE,3,,active,FALSE
opto,,,,Brainworx,https://www.plugin-alliance.com/en/products/bx_opto.html,https://www.brainworx.audio/assets/images/5/bx_opto-600-4xScreenshot-blanc_V1-aca0e985.png,TRUE,4,,active,FALSE
refinement,,,,Brainworx,https://brainworx.audio/products.html,https://www.brainworx.audio/assets/images/f/bx_refinement-2xScreenshot-action-blanc_V1-7b76a36f.png,TRUE,5,,active,FALSE
rockrack V3 Player,,,,Brainworx,https://brainworx.audio/products.html,https://www.brainworx.audio/assets/images/d/bx_rockrackcrunch800-4xScreenshot-amp-default-transparent_V1-6210c8dd.png,FALSE,3,,active,FALSE
solo,,,,Brainworx,https://brainworx.audio/products.html,https://www.brainworx.audio/assets/images/7/bx_solo-4xScreenshot-blanc_V1-3cef2847.png,FALSE,3,,active,FALSE
subfilter,,,,Brainworx,https://brainworx.audio/products.html,https://www.brainworx.audio/assets/images/5/bx_subfilter-4xScreenshot-action-transparent_V1-af2bb1a5.png,FALSE,3,,active,FALSE
tuner,,,,Brainworx,https://brainworx.audio/products.html,https://www.brainworx.audio/assets/images/2/bx_tuner-2xScreenshot-action-blanc_V1-ed3ec962.png,FALSE,3,,active,FALSE
COFFEEPUN,,,,Acoustica Audio,https://www.acustica-audio.com/store/t/acqua/free/coffeethepun,https://www.acustica-audio.com/spree/taxons/179/taxon_page_image/Coffee_thePUn_teaser_003.png?1585831535,FALSE,3,,active,FALSE
CORALBAXTER,,,,Acoustica Audio,https://www.acustica-audio.com/store/t/acqua/free,https://www.acustica-audio.com/spree/taxons/181/taxon_page_image/Coral_BAXTER_teaser_002.png?1585832345,TRUE,5,,active,FALSE
Creepy Piano,,,,Electronik Sound Lab,https://electroniksoundlab.com/creepy-piano-2/,https://electroniksoundlab.com/wp-content/uploads/2021/10/NUEVO-PLUGIN-HALLOWEEN-08-DEMO-GUI-2.png,FALSE,3,,active,FALSE
Cymatics Diablo Lite,,,,Cymatics,https://cymatics.fm/pages/diablo-lite,https://cdn.shopify.com/s/files/1/0129/7698/0032/files/min-diablo-lite-min-v3.png?v=1609443733,FALSE,3,"The main purpose of DIABLO Lite is to enhance your drums and 808’s so they hit harder and cut through your mix.

For example, we’ve taken some of the softest sounding kick samples and ran them through DIABLO, and even though the .db levels are the same...

Those kicks are SMACKING 10x harder and the overall perceived loudness of each sample has exponentially improved.

DIABLO Lite is an absolute powerhouse production tool that you’ll find yourself using on every track.

What exactly does DIABLO Lite do?
The DIABLO Punch feature is a transient shaper designed to help your drums cut through any mix.

Nothing is worse than a kick or snare that you can barely hear over your song. By adding DIABLO’s Punch feature, your drums will have that special element they need to cut through the other sounds in your song.

The DIABLO Clip Feature is a modern hard / soft clipper made to make your drums slap every time.

Almost every major record today uses a hard or soft clipper on most of their drums.

We’ve spent tons of hours perfecting the sound of DIABLO’S clipper, giving you the perfect tool to achieve modern industry sound on your drums.",active,FALSE
Cymatics Origin,,,,Cymatics,https://cymatics.fm/products/origin-vintage-plugin,https://cdn.shopify.com/s/files/1/0129/7698/0032/files/min-origin-main-img.png?v=1628604802,FALSE,3,"What exactly is Origin?
Origin is a vintage/lofi plugin created to make your samples sound like they’re straight from an old tape machine.

The main knob is a resampler/bitcrusher with two special filters to make your samples sound “underwater” (this effect can often be heard in Drake songs)

The other four knobs are Tape Saturation, Noise, Movement, and Chorus. Using these 5 powerful controls you can instantly give your samples a vintage vibe.

*Origin is 64 bit only


What’s under the hood of Origin?
Origin was built based on vintage gear to give the most realistic analog sound.

The “Movement” knob (or Wow/Flutter) has a special mode that uses a randomizer algorithm to create realistic tape pitch wobbles.

We also replicated the famous Juno 106 chorus sound with the two classic slow and fast chorus modes.

Finally, the tape saturation modes are modeled from vintage tape machines. Using these in tandem with the noise knob and Resampler, you will get an undeniable vintage tone to your sounds.

Origin Plugin
Origin Plugin
How does the Resampler engine work?
The core of Origin is its resampler, which changes the sample rate of your running audio in real-time. However, reducing the sample rate alone will produce bitcrusher-style artifacts called “images.” In many cases, these aren’t desirable. Removing these images using Origin’s special filters results in an effect similar to a brick-wall lowpass filter, but with an altogether different sonic character.

Rather than turning down the cutoff on a lowpass filter to cut high frequencies, Origin mathematically forbids high frequencies from existing above the resampler cutoff frequency.

*This effect is the famous “underwater” effect you hear on a lot of melodies in Drake songs.",active,FALSE
Darksichord 2,,,,Electronik Sound Lab,https://electroniksoundlab.com/free-stuff/,https://electroniksoundlab.com/wp-content/uploads/2020/08/DARKSICHORD-2-GUI.png,FALSE,3,"Darksichord 2 is a scary Harpsichord built from the 3 sounds of the original version but now you can control the level of each sound separately, several options have also been added to control the LFOs, filter type selector and new GUI.

Features:

3 layers of sound
LFO controls
Filter controls
Attack and release controls
Built-in reverb.
macOS Catalina Support
Free Updates for donators and YouTube subscribers",active,FALSE
Darksichord,,,,Electronik Sound Lab,https://electroniksoundlab.com/free-stuff/,https://electroniksoundlab.com/wp-content/uploads/2019/11/DARKSICHORD-GUI.png,FALSE,3,"Darksichord is a free plugin instrument for Windows & Mac. Darksichord featuring a multi-sampled Harpsichord, processed with several layers of sound and effects to give it a darker sound.

Features:

LPF Filter.
LFO Modulation.
macOS Catalina Support",active,FALSE
Dexed,,,,Dexed,https://asb2m10.github.io/dexed/,https://vstwarehouse.com/wp-content/uploads/2020/01/dexed.png,FALSE,3,"Dexed is a multi platform, multi format plugin synth that is closely modeled on the Yamaha DX7. Dexed is also a midi cartridge librarian/manager for the DX7.

Minimal documentation is available on Dexed Wiki.



Examples from One Synth Challenge:



Dexed is free software and is licensed on the GPL v3.

Features
Multi platform (OS X, Windows or Linux) and multi format (VST, AU, LV2)
The sound engine music-synthesizer-for-android is closely modeled on the original DX7 characteristics
144 DAW automatable DX7 parameters available from one single panel
Fully supports DX7 input and output Sysex messages; including controller change. This means that you can use this with a native DX7/TX7 as a patch editor and sysex manager
Each operator have a realtime VU meter to know which one is active
Can load/save any DX7/TX7 sysex programs. It is also possible to save a single program into a different sysex file.",active,FALSE
DrMS,,,,Matthew Lane,https://www.mathewlane.com/plugins/drms/,https://www.mathewlane.com/mlmosssite/wp-content/uploads/edd/2021/04/Mathew_Lane_DrMS_Screenshot_GLOW.png,TRUE,5,,active,FALSE
Drumart SLD,,,,Electronik Sound Lab,https://freevstplugins.net/electronik-sound-lab-drumart-sld/,https://freevstplugins.net/wp-content/uploads/2021/02/Electronik-Sound-Lab-Drumart-SLD.jpg,FALSE,3,"Drumart SLD is the new version of our Popular SL Drums 3 (discontinued) for Windows & Mac, Drumart SLD contains 84 kits focused on urban music.

Features:

8 Pads
84 Kits for Urban Music
DR Envelope for each channel
Gain control for each channel
Pan control for each channel
Assignable Outputs.
macOS Catalina Support",active,FALSE
elysia niveau filter,,,,elysia,https://www.elysia.com/plugins/niveau-filter/,https://www.elysia.com/wp-content/uploads/2019/12/the_origin.jpg.webp,TRUE,3,"TRUE EMULATION
How has the hardware counterpart of
the niveau filter been ‘translated’ into
software? Being a part of the mpressor code, this plugin is actually a side effect of a
pretty long and complicated development process... The following provides just the basic idea:
Transferring a complex analog hardware into
digital code is not exactly trivial, especially if the
model is a completely discrete design like the
niveau filter.
The first important task in a project like this is to
fragment the electronic circuitry into separate
functional blocks. These blocks are translated
into software step by step after which they will
be reunited to become a functional plugin.
This first result is measured very accurately and
then compared to the hardware, which leads to
an extensive and very detailed matching process. The work on the graphical user interface
(photography, retouching, rendering) takes
place at the same time.
The final stage is the calibration of the behavior of all the controllers in order to give the
software the ‘feel’ of the real thing. Finally, the
finished code is ported to different plugin interfaces (RTAS/VST/AU/AAX...) and packed into
installation routines.
OVERSAMPLING
The niveau filter plugin benefits from
higher sample rates, as the signals
running through it can be processed
at higher resolutions which result in more precise and closer to analog EQing.
The niveau filter plugin employs the oversampling technique in order to enjoy this advantage
even when lower sample rates are used. This
means that the basic sample rate of a project is
multiplied by a certain factor inside the plugin
without the need to set the complete project to
a higher frequency.
This method consumes a certain amount of CPU
power, but the sonic result speaks for itself. The
niveau filter plugin uses oversampling according to the following rules:
• Project sample rate lower than 50 kHz:
4x oversampling
• Project sample rate lower than 100 kHz:
2x oversampling
• Project sample rate higher than 100 kHz:
No oversampling
MOUSEWHEEL SUPPORT
You do not necessarily have to click
and drag the controllers of the niveau
filter. Instead, try making your settings with the alternative mousewheel control
without clicking on the specific controller first!
The following shortcuts provide some further
comfort:
Fine mode
VST Shift + mouse wheel
AU Shift + mouse wheel
RTAS Ctrl/Cmd + mouse wheel
Standard position
VST Ctrl/Cmd + mouse click
AU Alt + mouse click
RTAS Alt + mouse click
Linear/Circular mode
VST Alt",active,FALSE
elysia phils cascade,,,,elysia,https://www.plugin-alliance.com/en/products/elysia_phils_cascade.html,https://imgs.search.brave.com/V7xjk4Nxzc-avTIgJKCTxLOxiEvPXdijM8r2UBnLyMU/rs:fit:1200:1004:1/g:ce/aHR0cHM6Ly9maWxl/cy5wbHVnaW4tYWxs/aWFuY2UuY29tL3By/b2R1Y3RzL2VseXNp/YV9waGlsc19jYXNj/YWRlL2ltYWdlcy9j/YXJvdXNlbC9TY3Jl/ZW5zaG90LmpwZw,TRUE,4,"phil’s cascade is anything but your typical audio processor – it’s just not meant to fix things or add so and so many percents of final glory to your mixes and masters. Rather than that, phil’s exclusively opens an amazing toolbox for creating most interesting sound flavors based on highly esoteric vintage components combined in a truly unique circuitry.",active,TRUE
EMINENCE,,,,Acoustica Audio,https://www.acustica-audio.com/pages/specials/eminence,https://www.acustica-audio.com/pictures/W1siZiIsIjIwMjEvMTIvMTcvMTRwYmlucHV2c19lbWluZW5jZV94bWFzX3BpYy5wbmciXV0/eminence%20xmas%20pic.png?sha=7bb7acd09e299e4d,TRUE,3,"an ultra-rare '60s British 3-band EQ, famously used in probably one of the most famous and mythical worldwide broadcast studios, produced and developed at a time when record labels and companies maintained their own recording studios, going so far as to design and build most of their own recording equipment.
A 'Frankenstein' compressor that fuses two different seriously ‘Old school’ solid-state dynamic processors in one (591: an Optical Compressor – 612: FET Limiter) from a renowned U.S. audio electronics company.
a preamp section includes the preamp stages from all three units that comprise this powerful plugin.",active,FALSE
emvoiceone,,,,emvoice,https://emvoiceapp.com/,https://imgs.search.brave.com/ZyFfeBEBv-X902gAem7RjHIjPZwiqqiWgHqzoEWvpJo/rs:fit:1200:1124:1/g:ce/aHR0cHM6Ly9zdGF0/aWMua3ZyYXVkaW8u/Y29tL2kvYi9lbXZv/aWNlX2pheV8xX21h/aW4ucG5n,TRUE,3,"Draw musical phrases as notes
Each phrase is assigned a text box
Your typed words are sent to the cloud
Emvoice One is ready to sing instantly",active,FALSE
ERINCOMPST,,,,Acoustica Audio,https://www.acustica-audio.com/store/products/erin,https://www.acustica-audio.com/system/akfp/file_entries/files/000/001/409/original/Erin_EQ_Stereo_teaser_002.png?1591708939,TRUE,5,"Erin Stereo Tube Compressor/Limiter (ERIN COMP ST)
Each plug-in included in the Erin suite comes in a “Standard” version and an alternative “ZL*” version which operates at *zero latency and is thus suitable for use when tracking, at the cost of extra processing resources. For further details consult the Erin user's manual in the Overview section.
",active,FALSE
ERINEQMID,,,,Acoustica Audio,https://www.acustica-audio.com/store/products/erin,https://www.acustica-audio.com/system/akfp/file_entries/files/000/001/409/original/Erin_EQ_Stereo_teaser_002.png?1591708939,TRUE,5,Erin Passive Tube Mid-Range Equalizer (ERIN EQ MID),active,FALSE
ERINEQST,,,,Acoustica Audio,https://www.acustica-audio.com/store/products/erin,https://www.acustica-audio.com/system/akfp/file_entries/files/000/001/409/original/Erin_EQ_Stereo_teaser_002.png?1591708939,TRUE,5,Erin Stereo Tube Equaliser (ERIN EQ ST),active,FALSE
ESL-110,,,,Electronik Sound Lab,https://electroniksoundlab.com/free-stuff/,https://electroniksoundlab.com/wp-content/uploads/2019/11/ESL110.png,FALSE,3,"ESL-110 is a Classic Drum Machine Rompler for Windows & Mac.

Features:

LP Filter
Reverb
Pitch
Amplitude Range.
Multi-Out Support
macOS Catalina Support",active,FALSE
Flux Mini,,,,Caelum Audio,https://www.caelumaudio.com/CaelumAudio/?Page=FluxMini,https://i.imgur.com/nLqvceX.png,FALSE,3,"Flux Mini 2 is an audio effect that adds life, character and dynamism to your tracks. The customisable graph creates a shape which can be used to modulate filter cutoff, filter resonance, amplitude and mix.

Just create a shape on the graph and set your desired amount of modulation using the depth slider beneath each parameter to hear great rhythmic effects.

Pre-loaded with 20 presets to get you going, it won't be long before you've built a plethora of shapes to accentuate your fantastic music.

Now control multiple parameters at once, fix the graph to milliseconds as well as the host tempo, output the graph as MIDI CC messages and control the shape of curves with 2 control points!

From simple side-chains to manic modulations, sculpt some life into your sounds - flux it up and have some fluxing fun!",active,FALSE
